"PRODUCT","PHYSICAL","LOGICAL","GMI FC","R&N A.C.N","GROUP","CLEARING ADMIN","CRP CODE","COMMODITY REFERENCE PRICE (CRP)","PAIRED SWAP BASIS","REPORTABLE LEVEL"
"FCOJ-A Futures TAS","OJ","OJ ","96","2200","","FCOJ A","","","","",
"FCOJ-A Options","OJ","OJ ","96","2200","","FCOJ A","","","","",
"Euro Currency Pairs Euro/Norwegian Krone Futures","OL","OL ","","","","FOREX","","","","",
"ICE UK Peak Electricity Futures (Monthly)","P","PPM","","P641","","IPE Peak EFA","","","","",
"Cross Currency Pairs British Pound Sterling/Canadian Dollar Futures","PC","PC ","","","","FOREX","","","","",
"Cross Currency Pairs British Pound Sterling/Norwegian Krone Futures","PK","PK ","","","","FOREX","","","","",
"Cross Currency Pairs British Pound Sterling/Swedish Krona Futures","PS","PS ","","","","FOREX","","","","",
"Cross Currency Pairs British Pound Sterling/South African Rand Futures","PZ","PZ ","","","","FOREX","","","","",
"Cross Currency Pairs British Pound Sterling/Australian Dollar Futures","QA","QA ","","","","FOREX","","","","",
"Euro Currency Pairs Euro/Australian Dollar Futures","RA","RA ","","","","FOREX","","","","",
"Robusta Futures","RC","RC ","RC","OV50","","Coffee C","","","","",
"Russell 1000 Index Mini TAS","RF","RF ","RF","ON25","","Russell Indices","","","","",
"Russell 1000&reg; Index Mini Futures","RF","RF ","RF","ON25","","Russell Indices","","","","",
"Russell 1000&reg; Index Mini Options","RF","RF ","RF","ON25","","Russell Indices","","","","",
"Russell 1000 Growth Index Mini Futures","RG","RG","","","","Russell Indices","","","","",
"Russell 1000 Growth Index TAS","RG","RG","","","","Russell Indices","","","","",
"Euro Currency Pairs Euro/Swedish Krona Futures","RK","RK ","","","","FOREX","","","","",
"Canola Futures","RS","RS ","","","","Canola","","","","",
"Canola Option","RS","RS ","","","","Canola","","","","",
"Russell 1000 Value Index Mini Futures","RV","RV","","UF14","","Russell Indices","","","","",
"Russell 1000 Value Index TAS","RV","RV","","UF14","","Russell Indices","","","","",
"Euro Currency Pairs Euro/Swiss Franc Futures","RZ","RZ ","RZ","6605","","FOREX","","","","",
"Sugar No. 11 Futures","SB","SB ","27","2055","","Sugar No 11","","","","",
"Sugar No. 11 Futures TAMM","SB","SB ","27","2055","","Sugar No 11","","","","",
"Sugar No. 11 Futures TAS","SB","SB ","27","2055","","Sugar No 11","","","","",
"Sugar No. 11 Options","SB","SB ","27","2055","","Sugar No 11","","","","",
"Cleared Sugar No. 11 Swap","SBC","SBC","ZS","SBC06","","Sugar 11 Swap","SUGAR # 11 (WORLD)-ICE
","IFUS Sugar No. 11
","Directly linked
","50
",
"Sugar No. 16 Futures","SF","SF ","","","","Sugar No 16","","","","",
"Dollar Based Currency Pairs US Dollar/Japanese Yen Futures","SN","SN ","","","","FOREX","","","","",
"Cross Currency Pairs British Pound Sterling/Swiss Franc Futures","SS","SS ","SS","2243","","FOREX","","","","",
"ICE FOB Indo sub-bit Coal Contract","SUB","SUB","","","","Indo Sub-Bit","","","","",
