PRODUCT_ID;PRODUCT_TYPE;PRODUCT_NAME;PRODUCT_GROUP;CURRENCY;PRODUCT_ISIN;UNDERLYING_ISIN;SHARE_ISIN;CONTRACT_SIZE;CONTRACT_MONTHS;MIN_PRICE_CHANGE;COUNTRY_CODE;GROUP_ID;CASH_MARKET_ID;SECTOR;STOXX® Europe 600;EURO STOXX 50®;STOXX Europe 50®;DAX®;SMI®;MDAX®;SDAX®;TecDAX®;SMIM®;STOXX® 200 Large;STOXX® 200 Mid;STOXX® 200 Small;DJ Global Titans 50 (SM);AEX Index®;CAC 40®;SP 500;RDXxt® USD - RDX Extended;FTSE® 100;ATX
BLT;OSTK;BHP Billiton;Equity Options;GBP;GB0000566504;GB0000566504;;1000;24;.5;GB;GB11;XLON;Basic Resources;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0
BLTF;FSTK;BHP Billiton;Single Stock Futures;GBP;DE000A0MEMF9;GB0000566504;;1000;36;.0001;GB;GB01;XLON;Basic Resources;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0
BM3F;FSTK;BMW pref.;Single Stock Futures;EUR;DE000A0MEV33;DE0005190037;;100;36;.0001;DE;DE01;XETR;Automobiles & Parts;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
BMEG;FSTK;Bolsas y Mercados Españoles;Single Stock Futures;EUR;DE000A1DKNX4;ES0115056139;;100;36;.0001;ES;ES01;XMAD;Financial Services;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
BMOF;FSTK;Bank of Montreal;Single Stock Futures;USD;DE000A1HTZ04;CA0636711016;;100;36;.0001;CA;CA01;XNYS;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BMTF;FSTK;British American Tobacco;Single Stock Futures;GBP;DE000A0SYAS2;GB0002875804;;1000;36;.0001;GB;GB01;XLON;Personal & Household Goods;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0
BMW;OSTK;BMW;Equity Options;EUR;DE0005190003;DE0005190003;;100;60;.01;DE;DE11;XETR;Automobiles & Parts;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
BMWF;FSTK;BMW;Single Stock Futures;EUR;DE000A0C39Y4;DE0005190003;;100;36;.0001;DE;DE01;XETR;Automobiles & Parts;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
BMYF;FSTK;Bristol-Myers Squibb;Single Stock Futures;USD;DE000A0SYD76;US1101221083;;100;36;.0001;US;US01;XNYS;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
BNP;OSTK;BNP Paribas;Equity Options;EUR;FR0000131104;FR0000131104;;100;60;.01;FR;FR11;XPAR;Banks;1;1;1;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0
BNPH;FSTK;BNP Paribas;Single Stock Futures;EUR;DE000A1CQ380;FR0000131104;;100;36;.0001;FR;FR01;XPAR;Banks;1;1;1;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0
BNR;OSTK;Brenntag;Equity Options;EUR;DE000A1DAHH0;DE000A1DAHH0;;100;60;.01;DE;DE12;XETR;Chemicals;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0
BNSF;FSTK;Bank of Nova Scotia;Single Stock Futures;USD;DE000A1KQRV1;CA0641491075;;100;36;.0001;CA;CA01;XNYS;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BNZF;FSTK;Bunzl;Single Stock Futures;GBP;DE000A0SYDC0;GB00B0744B38;;1000;36;.0001;GB;GB01;XLON;Industrial Goods & Services;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
BOSG;FSTK;Hugo Boss St.;Single Stock Futures;EUR;DE000A0V8M78;DE0005245500;;100;36;.0001;DE;DE01;XETR;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BPD;OSTK;UBI Banca;Equity Options;EUR;IT0003487029;IT0003487029;;500;24;.0005;IT;IT12;XMIL;Banks;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
BPDG;FSTK;UBI Banca [1075,8346];Single Stock Futures;EUR;DE000A1A4P55;IT0003487029;;1075.8346;36;.0001;IT;IT01;XMIL;Banks;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
BPDH;FSTK;UBI Banca;Single Stock Futures;EUR;DE000A1KQPY9;IT0003487029;;1000;36;.0001;IT;IT01;XMIL;Banks;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
BPE;OSTK;Banca Popolare dell' Emilia Romana;Equity Options;EUR;IT0000066123;IT0000066123;;500;24;.0005;IT;IT12;XMIL;Banks;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
BPEF;FSTK;Banca Popolare dell' Emilia Romana;Single Stock Futures;EUR;DE000A1CQ497;IT0000066123;;1000;36;.0001;IT;IT01;XMIL;Banks;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
BPF;FSTK;BP;Single Stock Futures;GBP;DE000A0MEMC6;GB0007980591;;1000;36;.0001;GB;GB01;XLON;Oil & Gas;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0
BPIF;FSTK;Banco BPI [500];Single Stock Futures;EUR;DE000A0JY3J1;PTBPI0AM0004;;500;36;.0001;PT;PT01;XLIS;Banks;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
BPIG;FSTK;Banco BPI;Single Stock Futures;EUR;DE000A1KDZR0;PTBPI0AM0004;;100;36;.0001;PT;PT01;XLIS;Banks;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
BPM;OSTK;Banca Popolare di Milano;Equity Options;EUR;IT0000064482;IT0000064482;;500;24;.0005;IT;IT12;XMIL;Banks;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
